Movie Count,Tot_Profit,Avg_Profit,Max_Profit,Min_Profit,Tot_Rev,Avg_Rev,Max_Rev,Min_Rev,Tot_Bugd,Avg_Budg,Max_Budg,Min_Budg,Avg_ROI,Max_ROI,Min_ROI,Avg_RT_Ascore,Max_RT_Ascore,Min_RT_Ascore
11,-187468713.0,-23433589.125,5648679.0,-76780252.0,270131287.0,33766410.875,60128566.0,15418790.0,457600000.0,57200000.0,100000000.0,12600000.0,-0.28788939794719165,0.22371349206349206,-0.76780252,6.581818181818181,7.6,5.6
10,95582448.0,9558244.8,145629101.0,-62632340.0,629582448.0,62958244.8,210629101.0,20700082.0,534000000.0,53400000.0,110000000.0,15000000.0,0.25436289250155397,2.2404477076923075,-0.6959148888888889,6.82,8.6,6.0
10,524411748.0,58267972.0,240202542.0,-26151660.0,1492411748.0,165823527.55555555,515202542.0,21704844.0,968000000.0,107555555.55555555,275000000.0,15000000.0,0.9498254791650981,3.8055332,-0.4288198947368421,7.4399999999999995,8.6,5.8
10,75387056.0,8376339.555555556,42259870.0,-39811630.0,519387056.0,57709672.88888889,202807711.0,3110580.0,444000000.0,49333333.333333336,190000000.0,2000000.0,1.1304546350645133,5.963733,-0.7139863333333333,7.32,8.6,5.6
10,886280624.0,110785078.0,293874981.0,-14948023.0,1403780624.0,175472578.0,328874981.0,15051977.0,517500000.0,64687500.0,125000000.0,18500000.0,1.9862829536677455,8.396428028571428,-0.49826743333333334,7.08,8.6,4.0
10,359099933.0,39899992.55555555,236438208.0,-25331675.0,937099933.0,104122214.77777778,241438208.0,12668325.0,578000000.0,64222222.222222224,165000000.0,5000000.0,5.470656494604297,47.2876416,-0.6666230263157895,7.26,9.0,4.6
10,-522957906.0,-47541627.81818182,27852604.0,-112634710.0,777042094.0,70640190.36363636,168052812.0,21321100.0,1300000000.0,118181818.18181819,200000000.0,5000000.0,0.24255231544109235,3.26422,-0.7039669375,7.0181818181818185,8.2,5.8
10,157227806.0,26204634.333333332,548732821.0,-122746923.0,983227806.0,163871301.0,718732821.0,30234022.0,826000000.0,137666666.66666666,185000000.0,58000000.0,0.049557546805931434,3.2278401235294116,-0.7191653333333333,7.2799999999999985,9.6,5.4
10,-14231813.0,-1778976.625,18009200.0,-45924710.0,181768187.0,22721023.375,58009200.0,1978592.0,196000000.0,24500000.0,65000000.0,9000000.0,0.05398237027777778,1.2506536666666668,-0.8458231,7.239999999999999,8.2,5.6
10,-156815730.0,-17423970.0,7119709.0,-76780252.0,351184270.0,39020474.44444445,60128566.0,20374484.0,508000000.0,56444444.44444445,100000000.0,33000000.0,-0.20951895571095572,0.21574875757575757,-0.76780252,6.5200000000000005,7.2,5.6
