Name,Worldwide Gross Revenue (sus),Domestic Opening,Domestic Gross,China Opening,China Gross,UK Opening,UK Gross,France Opening,France Gross,Germany Opening,Germany Gross,Italy Opening,Italy Gross,Spain Opening,Spain Gross,Japan Opening,Japan Gross,South Korea Opening,South Korea Gross,Australia Opening,Australia Gross,Russia/CIS Opening,Russia/CIS Gross,India Opening,India Gross
Alice Through the Looking Glass,368741763.77,29721267.12,94751181.05,80115448.37,72292942.65,0.0,17566657.38,0.0,17722970.66,0.0,10511955.76,0.0,9069476.06,0.0,6822439.94,0.0,830590.4,0.0,10716689.18,0.0,5873449.59,0.0,27653857.76,0.0,1152546.78
Alice in Wonderland,1505934647.27,23507444.75,490770911.77,0.0,0.0,0.0,94627987.66,0.0,0.0,0.0,50867537.76,0.0,58671882.49,0.0,42248488.71,0.0,0.0,0.0,0.0,0.0,8919095.45,0.0,0.0,0.0,0.0
Alien vs. Predator,311119476.29,67143598.47,140775378.01,0.0,0.0,6424272.78,16376107.01,0.0,10529044.58,0.0,15147481.43,2854157.25,6812560.39,4374804.72,9631601.94,0.0,28369529.04,0.0,2755531.31,0.0,8114996.3,2749025.8,6939914.03,0.0,1049938.05
Alien: Covenant,287637362.83,0.0,88672748.66,0.0,54210368.3,0.0,19872976.56,0.0,0.0,0.0,7206997.57,0.0,3383968.09,0.0,5054133.22,0.0,0.0,0.0,19159.76,0.0,7023.42,0.0,269024.76,0.0,0.0
Aliens vs. Predator: Requiem,209078622.12,16142424.07,67072020.95,0.0,0.0,6181533.0,14850266.31,4696028.97,9165022.47,7450924.8,12259389.13,1146896.53,2123307.44,3782236.91,7383108.3,0.0,15527068.9,1234885.79,3185493.12,2984211.59,8441726.72,6152227.85,11775509.16,0.0,331058.96
Alita: Battle Angel,455809169.03,32105828.74,96611661.59,71800126.01,150139604.53,4571566.92,13714916.87,6508444.9,20012911.88,3208753.58,8869818.66,1311782.77,2733481.6,2236658.38,6665129.24,3517148.63,8655329.32,12228862.57,17102868.34,3040640.84,9483453.95,7718847.47,14038454.5,1539712.93,1539712.93
All Is Lost,18314245.99,125767.73,8417848.71,0.0,0.0,513023.95,1692707.03,878092.12,878092.12,638982.51,2699656.53,240762.62,241753.09,219894.29,492599.11,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
All the Money in the World,68056567.68,6668404.76,29987079.52,1276210.26,2089213.0,1881767.91,5300239.34,0.0,2558523.32,602161.77,1259296.51,1854034.85,3778085.35,617486.23,1409331.57,0.0,1638263.63,303289.28,632127.7,1378508.3,4037090.81,644393.01,1078623.26,0.0,239448.08
Allegiant,220451038.41,35699976.69,81398034.63,12114432.22,22969388.73,3252141.93,7636643.49,3419928.71,19997982.73,1330092.6,4919609.84,1958110.47,4262284.07,2025906.04,6529367.14,0.0,0.0,515662.74,855575.28,1984729.86,5212492.0,3718688.44,7911992.57,0.0,0.0
Allied,146994552.68,15621541.76,49315560.97,1412656.49,5325885.14,2036891.27,6462000.8,3252642.49,9088882.24,430963.79,2747584.95,2467875.97,6506661.21,1561324.87,5846632.19,927847.59,3297637.43,2955233.16,4628483.94,2306354.17,10989430.93,2196532.59,5519654.23,225332.57,308388.41
Along Came Polly,312670696.14,48609265.7,154478910.33,0.0,0.0,7130888.38,26355602.79,0.0,10151798.8,0.0,21789460.75,3181922.6,10625622.43,0.0,11987675.8,0.0,0.0,0.0,1190435.97,0.0,12125331.28,1156298.72,3415912.21,0.0,194574.29
Alpha Dog,51914058.6,10290621.33,24567416.91,0.0,0.0,1452561.01,6608407.38,0.0,2858221.27,1018330.66,2247736.38,1373615.87,3817381.59,505910.98,1075278.48,0.0,0.0,433371.84,783257.21,0.0,0.0,1765100.06,3441244.82,0.0,0.0
Alvin and the Chipmunks,586283583.11,71100397.36,348745994.57,0.0,0.0,4562855.99,37896593.21,2453945.97,14511881.86,2096001.76,18682939.14,2897408.2,8795822.84,1915786.81,14739536.75,0.0,615770.79,1323481.64,5952605.58,5543472.84,25972566.87,1404063.57,4361864.9,0.0,208204.24
Ambulance,53870013.52,8960618.9,23464548.45,1312295.19,2485986.37,708022.0,2800573.09,978311.51,1990288.57,447822.37,1811543.4,218094.26,462605.96,250856.5,767751.7,229837.29,738436.87,464288.98,975557.29,322777.28,903251.29,117567.29,300627.13,0.0,65780.95
American Assassin,80281136.59,17727829.37,43284006.49,0.0,0.0,1164177.11,2616887.4,964814.55,2565667.33,859643.62,1804679.89,762321.2,1461894.94,416235.88,1028475.45,0.0,767603.68,1059414.54,1713764.75,1168866.15,2990545.77,782343.06,1332522.96,0.0,192048.98
American Gangster,432878275.5,69909252.65,208876043.97,0.0,0.0,8454880.5,31918291.47,5547909.85,17255616.95,4467672.83,17637089.37,6691378.73,24905254.15,5625375.45,23315863.03,2731666.1,16477711.43,1610923.07,4689972.81,4741118.01,17150341.79,1143706.37,2399055.38,0.0,1013731.57
American Made,161037765.1,20031887.01,61305033.01,0.0,0.0,1641513.84,8891758.79,2090365.26,6729153.36,1460454.92,3730190.72,1447826.62,3806110.95,1868402.88,7670484.49,1850643.74,7896645.16,1897929.41,3364674.59,2026189.73,6281460.17,2346419.03,4714098.17,344468.56,733402.44
American Reunion,325280541.44,29780518.23,78917278.39,0.0,0.0,14165104.67,35807107.07,7045441.72,17522660.82,9367394.37,31757577.94,4290222.48,10905380.63,3905924.55,8996517.97,0.0,0.0,67958.96,102753.06,6852206.82,21346451.86,7422869.69,16305145.46,0.0,0.0
American Sniper,693758061.34,21662427.11,443570970.26,0.0,0.0,0.0,26267672.2,0.0,14133524.81,0.0,14488119.09,0.0,27096845.43,0.0,13068408.06,0.0,3488706.34,0.0,9132240.52,0.0,13469942.51,0.0,10487856.79,0.0,1125112.25
American Ultra,34535159.73,6909323.79,18293407.74,2535806.41,3813385.84,668130.01,1244241.84,1104284.02,2856835.09,391120.33,604293.67,132653.63,332059.71,237867.75,688588.35,0.0,0.0,0.0,0.0,257792.78,466966.92,822.13,2705229.31,0.0,0.0
Amour,41062107.33,9430646.94,9329033.1,0.0,0.0,0.0,1831626.56,0.0,2052374.49,0.0,3047929.33,0.0,2172620.12,0.0,2568102.66,0.0,611537.91,0.0,0.0,0.0,2336671.21,0.0,3145362.79,0.0,0.0
